Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-12 09:15:00+05:30,23068.400390625,23077.94921875,23033.75,23042.900390625,0,0.0,0.0
2025-02-12 09:16:00+05:30,23041.099609375,23046.900390625,23019.75,23041.69921875,0,0.0,0.0
2025-02-12 09:17:00+05:30,23040.80078125,23050.900390625,23039.25,23046.44921875,0,0.0,0.0
2025-02-12 09:18:00+05:30,23045.849609375,23054.69921875,23035.30078125,23040.400390625,0,0.0,0.0
2025-02-12 09:19:00+05:30,23039.650390625,23041.75,23031.44921875,23032.25,0,0.0,0.0
2025-02-12 09:20:00+05:30,23031.55078125,23041.349609375,23028.900390625,23039.05078125,0,0.0,0.0
2025-02-12 09:21:00+05:30,23042.349609375,23047.650390625,23027.55078125,23029.349609375,0,0.0,0.0
2025-02-12 09:22:00+05:30,23027.75,23028.099609375,23009.30078125,23020.75,0,0.0,0.0
2025-02-12 09:23:00+05:30,23022.099609375,23025.75,23014.599609375,23016.5,0,0.0,0.0
2025-02-12 09:24:00+05:30,23014.650390625,23014.80078125,22996.400390625,23000.30078125,0,0.0,0.0
2025-02-12 09:25:00+05:30,22999.849609375,23006.900390625,22994.150390625,23004.5,0,0.0,0.0
2025-02-12 09:26:00+05:30,23004.650390625,23008.849609375,22996.19921875,23004.150390625,0,0.0,0.0
2025-02-12 09:27:00+05:30,23004.099609375,23017.900390625,23001.75,23017.55078125,0,0.0,0.0
2025-02-12 09:28:00+05:30,23017.0,23019.5,22993.94921875,22995.099609375,0,0.0,0.0
2025-02-12 09:29:00+05:30,22994.05078125,22994.80078125,22979.19921875,22979.19921875,0,0.0,0.0
2025-02-12 09:30:00+05:30,22978.849609375,22986.400390625,22967.75,22969.0,0,0.0,0.0
2025-02-12 09:31:00+05:30,22967.849609375,22969.099609375,22947.44921875,22948.650390625,0,0.0,0.0
2025-02-12 09:32:00+05:30,22947.5,22956.0,22941.150390625,22956.0,0,0.0,0.0
2025-02-12 09:33:00+05:30,22954.599609375,22965.69921875,22954.599609375,22959.30078125,0,0.0,0.0
2025-02-12 09:34:00+05:30,22958.150390625,22958.55078125,22935.30078125,22935.30078125,0,0.0,0.0
2025-02-12 09:35:00+05:30,22936.400390625,22945.849609375,22931.05078125,22932.099609375,0,0.0,0.0
2025-02-12 09:36:00+05:30,22933.05078125,22945.94921875,22927.75,22928.05078125,0,0.0,0.0
2025-02-12 09:37:00+05:30,22928.30078125,22932.0,22921.400390625,22922.650390625,0,0.0,0.0
2025-02-12 09:38:00+05:30,22921.650390625,22927.25,22919.44921875,22926.099609375,0,0.0,0.0
2025-02-12 09:39:00+05:30,22925.599609375,22932.30078125,22922.400390625,22924.94921875,0,0.0,0.0
2025-02-12 09:40:00+05:30,22925.44921875,22925.44921875,22896.80078125,22897.25,0,0.0,0.0
2025-02-12 09:41:00+05:30,22896.0,22902.80078125,22892.900390625,22899.75,0,0.0,0.0
2025-02-12 09:42:00+05:30,22899.099609375,22932.30078125,22898.75,22927.30078125,0,0.0,0.0
2025-02-12 09:43:00+05:30,22927.0,22927.75,22911.69921875,22917.19921875,0,0.0,0.0
2025-02-12 09:44:00+05:30,22916.900390625,22919.80078125,22910.30078125,22911.80078125,0,0.0,0.0
2025-02-12 09:45:00+05:30,22911.94921875,22912.25,22885.650390625,22885.650390625,0,0.0,0.0
2025-02-12 09:46:00+05:30,22887.0,22887.75,22868.25,22874.400390625,0,0.0,0.0
2025-02-12 09:47:00+05:30,22874.900390625,22878.19921875,22870.900390625,22872.900390625,0,0.0,0.0
2025-02-12 09:48:00+05:30,22872.94921875,22884.25,22866.349609375,22872.75,0,0.0,0.0
2025-02-12 09:49:00+05:30,22872.55078125,22876.05078125,22858.30078125,22858.599609375,0,0.0,0.0
2025-02-12 09:50:00+05:30,22858.80078125,22867.099609375,22852.150390625,22852.30078125,0,0.0,0.0
2025-02-12 09:51:00+05:30,22852.55078125,22874.80078125,22850.599609375,22865.25,0,0.0,0.0
2025-02-12 09:52:00+05:30,22865.900390625,22870.599609375,22857.900390625,22865.69921875,0,0.0,0.0
2025-02-12 09:53:00+05:30,22865.25,22872.150390625,22862.650390625,22865.0,0,0.0,0.0
2025-02-12 09:54:00+05:30,22864.19921875,22876.55078125,22860.099609375,22875.900390625,0,0.0,0.0
2025-02-12 09:55:00+05:30,22876.849609375,22887.19921875,22867.69921875,22879.44921875,0,0.0,0.0
2025-02-12 09:56:00+05:30,22879.25,22880.44921875,22867.650390625,22868.25,0,0.0,0.0
2025-02-12 09:57:00+05:30,22868.099609375,22870.69921875,22851.25,22854.05078125,0,0.0,0.0
2025-02-12 09:58:00+05:30,22854.349609375,22854.55078125,22833.599609375,22834.69921875,0,0.0,0.0
2025-02-12 09:59:00+05:30,22834.099609375,22842.5,22829.150390625,22840.75,0,0.0,0.0
2025-02-12 10:00:00+05:30,22840.150390625,22840.349609375,22816.900390625,22818.349609375,0,0.0,0.0
2025-02-12 10:01:00+05:30,22819.55078125,22834.5,22816.849609375,22829.349609375,0,0.0,0.0
2025-02-12 10:02:00+05:30,22829.55078125,22829.75,22823.349609375,22824.599609375,0,0.0,0.0
2025-02-12 10:03:00+05:30,22825.69921875,22836.05078125,22819.69921875,22819.69921875,0,0.0,0.0
2025-02-12 10:04:00+05:30,22821.150390625,22821.25,22815.349609375,22819.599609375,0,0.0,0.0
2025-02-12 10:05:00+05:30,22818.19921875,22828.0,22817.5,22825.30078125,0,0.0,0.0
2025-02-12 10:06:00+05:30,22824.80078125,22829.099609375,22823.5,22825.30078125,0,0.0,0.0
2025-02-12 10:07:00+05:30,22824.599609375,22826.099609375,22817.44921875,22821.25,0,0.0,0.0
2025-02-12 10:08:00+05:30,22820.80078125,22851.25,22820.80078125,22838.400390625,0,0.0,0.0
2025-02-12 10:09:00+05:30,22839.44921875,22849.94921875,22838.19921875,22844.44921875,0,0.0,0.0
2025-02-12 10:10:00+05:30,22844.05078125,22856.849609375,22843.099609375,22853.80078125,0,0.0,0.0
2025-02-12 10:11:00+05:30,22854.30078125,22866.30078125,22851.849609375,22853.30078125,0,0.0,0.0
2025-02-12 10:12:00+05:30,22853.19921875,22853.19921875,22831.349609375,22847.849609375,0,0.0,0.0
2025-02-12 10:13:00+05:30,22847.099609375,22847.099609375,22834.099609375,22837.75,0,0.0,0.0
2025-02-12 10:14:00+05:30,22838.099609375,22840.400390625,22828.150390625,22830.599609375,0,0.0,0.0
2025-02-12 10:15:00+05:30,22831.099609375,22832.69921875,22811.94921875,22811.94921875,0,0.0,0.0
